Year,Breed,Name,Call Name,Group
2001,Bichon Frise,Special Times Just Right!,JR,Non-sporting
2002,Kerry Blue Terrier,Torums Scarf Michael,Mick,Terrier
2003,Norfolk Terrier,Cracknor Cause Celebre,Coco,Terrier
2005,Bloodhound,Ch Heathers Knock On Wood,Knotty,Hound
2006 (Jan),Alaskan Malamute,Nanuke's Snoklassic No Boundaries,Costello,Working
2006 (Dec),English Springer Spaniel,Felicity's Diamond Jim,James,Sporting
2007,Sealyham Terrier,Ch. Efbe's Hildago At Goodspice,Charmin,Terrier
2008,Pointer,Cookieland Seasyde Hollyberry,Holly,Sporting
2009,Scottish Terrier,Ch. Roundtown Mercedes of Maryscot,Sadie,Terrier
2010,Australian Shepherd,CH Propwash Reckon,Reckon,Herding
2011,Standard Poodle,GCH CH Jaset's Satisfaction,London,Non-sporting
2012,Wire Fox Terrier,GCH CH Afterall Painting The Sky,Sky,Terrier
2013,Portuguese Water Dog,GCH CH Claircreek Impression de Matisse,Matisse,Working
2014,Skye Terrier,GCH CH Cragsmoor Good Time Charlie,Charlie,Terrier
2015,German Shepherd Dog,GCH CH Lockenhaus' Rumor Has It V Kenlyn,Rumor,Working
2016,Puli,GCHB CH Cordmaker Mister Blue Sky,Preston,Herding